transaction_id,order_date,customer_id,store_name,city,product_name,category,size,quantity,unit_price_inr,discount_percent,total_amount_inr,payment_method,customer_rating,loyalty_member,order_channel
TXN00001,2025-03-31,CUST1055,Starbucks Phoenix Mall,Mumbai,Iced Tea,Tea,Unavailable,2.0,245,5.0,465.5,Wallet,4,no,Zomato
TXN00002,2025-12-11,CUST1091,Starbucks Koregaon Park,Pune,Blueberry Muffin,Bakery,Unavailable,1.0,215,20.0,172,UPI,4.5,no,Walk-in
TXN00003,2025-02-16,CUST1020,Starbucks Cyber Hub,Bengaluru,Espresso,Coffee,Unavailable,1.0,215,15.0,Unavailable,UPi,6,No,app
TXN00004,24/01/2026,CUST1142,Starbucks Cyber Hub,Bengaluru,Cappuccino,Coffee,Tall,1.0,290,0.0,290,Wallet,five,Yes,app
TXN00005,2026-04-15,CUST1143,Starbucks Mall Road,Ludhiana,Java Chip Frappuccino,Frappuccino,Unavailable,1.0,365,15.0,Unavailable,UPi,4,No,Delivery
TXN00006,2026-03-09,CUST1119,Starbucks Phoenix Mall,Mumbai,Espresso,Coffee,Tall,1.0,225,0.0,225,UPI,3,Unavailable,Zomato
TXN00007,Unavailable,CUST1076,Star bucks Mall Road,Ludhiana,Blueberry Muffin,Bakery,VENTI,2.0,170,20.0,272,Cash,3,Unavailable,App
TXN00008,2025-03-22,CUST1017,Star bucks Cyber Hub,Bengaluru,Pumpkin Spice Latte,Coffee,Venti,1.0,370,15.0,414.5,card,5,Unavailable,Unavailable
TXN00009,2026-04-08,Unavailable,Starbucks Hitech City,Hyderabad,Mocha,Coffee,Grande,2.0,355,10.0,639,Card,3.5,No,Walk-in
TXN00010,05-16-2025,CUST1104,Starbucks Mall Road,Ludhiana,Turkey Sandwich,Merchandise,Unavailable,-1.0,340,5.0,-323,Unavailable,5,no,App
TXN00011,2025-04-22,CUST1114,Starbucks Hitech City,Hyderabad,Iced Tea,Tea,Grande,1.0,245,0.0,245,Unavailable,3.5,Unavailable,Walk-in
TXN00012,2026-05-08,CUST1015,Starbucks Phoenix Mall,Mumbai,Caffè Latte,Coffee,Unavailable,1.0,Unavailable,0.0,Unavailable,card,4,no,Unavailable
TXN00013,not available,CUST1047,Star bucks Hitech City,Hyderabad,Caramel Macchiato,Coffee,Unavailable,1.0,330,5.0,Unavailable,UPI,1,Unavailable,Swiggy
TXN00014,25/09/2025,CUST1061,Starbucks Indiranagar,Noida,Pumpkin Spice Latte,Coffee,Unavailable,1.0,390,20.0,312,UPi,6,Yes,App
TXN00015,2025-05-16,CUST1062,Starbucks Cyber Hub,Bengaluru,Matcha Latte,Tea,grande,1.0,345,0.0,345,Card,five,Unavailable,Zomato
TXN00016,2025-10-16,CUST1067,Starbucks Sector-35,Gurugram,Turkey Sandwich,Food,Tall,2.0,350,0.0,700,UPI,2,Unavailable,Unavailable
TXN00017,2026-03-14,CUST1038,Starbucks Phoenix Mall,Mumbai,Spinach Feta Wrap,Food,Venti,3.0,290,0.0,870,Unavailable,5,No,App
TXN00018,29/12/2025,CUST1060,Starbucks Cyber Hub,Bengaluru,Americano,Coffee,Unavailable,1.0,275,15.0,233.75,Card,4,No,app
TXN00019,2025-02-09,CUST1117,Starbucks CP,Delhi,Blueberry Muffin,Bakery,Short,2.0,215,10.0,387,Card,3,Unavailable,Swiggy
TXN00020,12-06-2025,CUST1066,Starbucks Sector-35,Gurugram,Java Chip Frappuccino,Frappuccino,Grande,1.0,400,10.0,360,Unavailable,4.5,YES,app
TXN00021,Unavailable,CUST1050,Starbucks Cyber Hub,Bengaluru,Java Chip Frappuccino,Frappuccino,VENTI,1.0,375,20.0,300,UPi,6,Unavailable,Walk-in
TXN00022,11/05/2025,CUST1097,Starbucks MI Road,Jaipur,Chocolate Croissant,Bakery,grande,2.0,210,20.0,336,Unavailable,4.5,Unavailable,App
TXN00023,Unavailable,CUST1043,Starbucks Mall Road,Ludhiana,Americano,Coffee,VENTI,1.0,250,15.0,Unavailable,UPI,Unavailable,No,Zomato
TXN00024,03-16-2025,CUST1147,Starbucks Mall Road,Ludhiana,Mocha,Coffee,Short,1.0,320,0.0,320,Cash,4,Unavailable,App
TXN00025,2026-04-21,CUST1031,Starbucks Phoenix Mall,Mumbai,Turkey Sandwich,Food,VENTI,1.0,385,20.0,308,Unavailable,4,Unavailable,Unavailable
